system:index,Fecha,Hora,Temperatura,.geo
72,2022-03-10,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2022-03-10,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2022-03-11,,25.060000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2022-03-11,,25.670000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2022-03-12,,22.44999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2022-03-12,,24.779999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2022-03-13,,23.660000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2022-03-13,,24.069999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2022-03-14,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2022-03-14,,26.319999999999993,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2022-03-15,,24.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2022-03-15,,16.29000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2022-03-16,,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2022-03-16,,26.19999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2022-03-17,,24.99000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2022-03-17,,23.930000000000007,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2022-03-18,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2022-03-18,,20.480000000000018,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2022-03-19,,21.660000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2022-03-19,,6.2900000000000205,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2022-03-20,,2.1100000000000136,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2022-03-20,,21.519999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2022-03-21,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2022-03-21,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2022-03-22,,15.620000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2022-03-22,,-2.4499999999999886,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2022-03-23,,13.019999999999982,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2022-03-23,,14.699999999999989,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2022-03-24,,20.560000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2022-03-24,,22.029999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2022-03-25,,21.100000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2022-03-25,,11.689999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2022-03-26,,4.670000000000016,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2022-03-26,,1.990000000000009,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2022-03-27,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2022-03-27,,4.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2022-03-28,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2022-03-28,,18.439999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2022-03-29,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2022-03-29,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2022-03-30,,12.259999999999991,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2022-03-30,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2022-03-31,,18.69999999999999,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2022-03-31,,-3,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2022-04-01,,16.350000000000023,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2022-04-01,,11.279999999999973,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2022-04-02,,8.70999999999998,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2022-04-02,,20.649999999999977,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2022-04-03,,15.199999999999989,"{""type"":""MultiPoint"",""coordinates"":[]}"
